Location,Longitude,Latitude,Service Type
"Cork University Hospital, Wilton,  Co. Cork",-8.5105740,51.882886,Ambulance
"Dingle Health Centre, Hospital Grounds, Dingle, Co.  Kerry",-10.2749861,52.1447189,Ambulance
"Donegal, HSE, Co. Donegal          ",-8.1105460,54.6541972,Ambulance
"Drogheda Hospital,  NorthGate West, Drogheda",-6.3548319,53.723425,Ambulance
"Dundalk Ambulance Centre, Dundalk Ambulance Centre, Louth County Hospital, Dublin Rd, Dundalk, Co. Louth",-6.3950478,53.9828376,Ambulance
"Dungarvan Health Centre, St Joseph's Geriatric Hospital, The Spring, Dungarvan, Co. Waterford",-7.6390550,52.0884024,Ambulance
"Dungloe Medical Centre, Gweedore Road, Dungloe, Co. Donegal",-7.9954087,54.8661152,Ambulance
"Dunshaughlin Health Centre, Dunshaughlin, Co. Meath          ",-6.5428895,53.5080501,Ambulance
"Edenderry Health Centre, St Mary's Rd, Edenderry, Co. Offaly",-7.0678267,53.3335169,Ambulance
"Ennis Health Centre, Harmony Row, Ennis,       ",-8.9851585,52.8462497,Ambulance
"Enniscorthy Health Centre, Mill Yard Ln, Enniscorthy, Co. Wexford",-6.5661301,52.5021968,Ambulance
"Ennistymon Community Hospital, Lahinch Rd, Ennistymon, Co. Clare",-9.0471645,52.8624528,Ambulance
"Fermoy Health Centre, Chapel Square, Fermoy, Co. Cork",-8.2803199,52.1368033,Ambulance
"Finn Valley HSE,  County Donegal",-7.9954087,54.8661152,Ambulance
"Freshford Health Centre, Kilkenny St, Freshford, Co. Kilkenny",-7.3927938,52.7324907,Ambulance
"Gorey District Hospital, Gorey, Co. Wexford              ",-6.3000628,52.6744109,Ambulance
"Graiguecullen Health Centre, Oakley Park, Graiguecullen, Carlow, Co. Laois",-6.9438129,52.8405515,Ambulance
"Kenmare, Co. Kerry      ",-9.5835767,51.87796,Ambulance
"Kerry General Hospital, Rathass, Tralee, Co. Kerry ,  ",-9.6866122,52.2653407,Ambulance
"Killarney Health Centre, St Anne's Rd, Killarney, Co. Kerry",-9.5080593,52.0627476,Ambulance
"Killybegs Health Centre, St Catherines Rd, Killybegs, Co. Donegal",-8.4467006,54.6347681,Ambulance
"Kilrush, Co. Clare",-9.4859374,52.6406999,Ambulance
"Letterkenny General Hospital, Kilmacrennan Rd, Letterkenny, Co. Donegal",-7.7343900,54.9592354,Ambulance
"Listowel Health Centre, Convent Road, Listowel, Co. Kerry",-9.4976226,52.4482441,Ambulance
"Longford HSE, Co. Longford",-7.7931090,53.7275564,Ambulance
"Loughlinstown Hospital, Loughlinstown,  Co. Dublin",-6.1305553,53.242929,Ambulance
"Loughrea Health Centre, 60 Main St, Loughrea, Co. Galway     ",-8.5693150,53.1986175,Ambulance
"Louth County Hospital, Dublin Road, Dundalk, Co. Louth",-6.4028854,53.98907329,Ambulance
"Macroom Health Centre, Hospital Grounds, Macroom, Co. Cork",-9.0674512,52.0587923,Ambulance
"Mallow General Hospital, Limerick Rd, Mallow, Co. Cork",-8.6613858,52.153251,Ambulance
"Mallow General Hospital, Limerick Rd, Mallow, Co. Cork  ",-8.6539164,52.1389762,RRV
"Manorhamilton Health Centre, New Line, Manorhamilton, Co. Leitrim",-8.1752005,54.30555889,Ambulance
"Maynooth Health Centre, Maynooth, Co. Kildare",-6.5915445,53.3791807,Ambulance
"Mervue Health Centre, Michael Collins Road, Mervue, Co. Galway",-9.0162919,53.281158,Ambulance
"Midland Regional Hospital Mullingar, Longford Rd, Mullingar, Co. Westmeath",-7.3489783,53.53418079,Ambulance
"Midleton Community Hospital, Midleton, Co. Cork",-8.1715384,51.917905,Ambulance
"Millstreet Health Centre, Clara House, Millstreet, Co. Cork",-9.0674512,52.0587923,Ambulance
"Monaghan General Hospital, Monaghan, CO. Monaghan",-6.9738250,54.250294,Ambulance
"Naas General Hospital, Ballymore Road, Naas         ",-6.6613438,53.2115742,Ambulance
"Navan Ambulance Control Centre, Commons Road, Navan, Co. Meath",-6.6944223,53.650843,Ambulance
"Nenagh General Hospital, Nenagh, Co. Tipperary",-8.1911139,52.8577819,Ambulance
"New Inn Health Centre, New Inn, Cashel, Co. Tipperary",-7.8779510,52.4407282,Ambulance
"New Ross Health Centre, Hospital Grounds, New Ross, Co. Wexford",-6.9567827,52.39532029,Ambulance
"St. Ita’s Hospital, Newcastle West, Co. Limerick,  ",-9.0532525,52.454938,Ambulance
"Portlaoise (Hospital), Portlaoise, Co. Laois",-7.2740935,53. 0392665,Ambulance
"Roscommon County Hospital, Athlone Road, Roscommon",-8.1810528,53.6268754,Ambulance
"Roscommon, County Hospital, Athlone Road, Roscommon",-8.1810528,53.6268754,RRV
"Roscrea Health Centre, Flat 1, Traynor  Court, Chapel Ln, Roscrea, Co. Tipperary",-7.7984696,52.9551789,Ambulance
"Saint James's Hospital, James's St, Dublin 8",-8.1012765,53.93961849,Ambulance
"Scariff, Co. Clare  ",-8.5331090,52.9088498,Ambulance
"Skibbereen Community Hospital, Skibbereen, Co. Cork",-9.2636000,51.5486,Ambulance
"Sligo General Hospital, The Mall, Sligo",-8.4639418,54.2746335,Ambulance
"South Tipperary General Hospital, Clonmel, Co. Tipperary",-7.7143758,52.355298,Ambulance
"South Tipperary General Hospital, Western Road, Clonmel, Co.Tipperary",-7.6902551,52.3558172,Ambulance
"Swords Health Centre, Bridge Street, Swords, Co. Dublin",-6.2217127,53.4598049,Ambulance
"Tallaght Hospital, Dublin, Tallaght, Dublin 24",-6.3766634,53.2907225,Ambulance
"Templemore Health Centre, St Mary's Church of Ireland, Church St, Templemore, Co. Tipperary",-7.8398609,52.794802,Ambulance
"Templemore Health Centre, St Mary's Church of Ireland, Church St, Templemore, Co. Tipperary",-8.1618514,52.4737894,RRV
"Trim, Co. Meath",-6.7911150,53.5548258,Ambulance
"Tullamore Hospital, Arden Road, Tullamore, Co. Offaly",-7.4917614,53.2828094,Ambulance
"Tullamore Hospital, Arden Road, Tullamore, Co. Offaly",-7.4917614,53.2828094,RRV
"University Hospital Limerick, Saint Nessan's Road, Dooradoyle, Co. Limerick",-8.6547793,52.6349682,Ambulance
"Virginia Health Centre, Dublin Rd, Virginia, Co. Cavan",-7.1271966,53.913475,Ambulance
"Wexford General Hospital, Newtown Rd, Co. Wexford,  ",-6.4830035,52.3419293,Ambulance
"Wicklow Health Centre, Colley St, Co. Wicklow",-6.0359817,52.9774667,Ambulance
"Wicklow Health Centre, Colley St, Co. Wicklow",-6.0359817,52.9774667,RRV
