County,Hospital,Longitude,Latitude
Dublin,"St. Ita's Psychiatric Hospital, Portrane",-6.1146200,53.493200
Dublin,"St. James's Hospital, Rialto",-6.2948564,53.340422
Dublin,"St. John of God Hospital, Stillorgan",-6.1914930,53.285607
Dublin,St. Joseph's Hospital,-6.4297186,53.387278
Dublin,"St. Loman's Hospital, Palmerstown",-6.4071738,53.356951
Dublin,"St. Luke's Hospital, Rathgar",-6.2682900,53.310518
Dublin,"St. Mary's Hospital, Baldoyle",-6.1280209,53.398251
Dublin,"St. Mary's Hospital, Phoenix Park",-6.3355916,53.349456
Dublin,"St. Michael's Hospital, Dun Laoghaire",-6.1381999,53.293815
Dublin,St. Patrick's Hospital,-6.2945230,53.343957
Dublin,St. Paul's Hospital,-6.2312974,53.390258
Dublin,"St. Vincent's University Hospital, Elm Park",-6.2112678,53.318114
Dublin,"Simpson's Hospital, Dundrum",-6.2466781,53.286900
Dublin,"Tallaght Hospital, Tallaght",-6.3766634,53.290723
Galway,"Bon Secours Hospital, Galway",-9.0202650,53.278004
Galway,"Galway Clinic, Galway",-8.9740978,53.282182
Galway,"Merlin Park Regional Hospital, Galway",-8.9885528,53.277643
Galway,"Portiuncula Hospital, Ballinasloe",-8.2351859,53.326727
Kerry ,"Bon Secours Hospital, Tralee",-9.7131376,52.269960
Kerry ,"Dingle Community Hospital (St. Elizabeth's), Dingle",-10.2705360,52.138761
Kerry ,"Killarney Community Hospital, Killarney",-9.5170988,52.065554
Kerry ,"Listowel Community Hospital, Listowel",-9.4977005,52.447237
Kerry ,"St. Finan's Hospital, Killarney",-9.5091347,52.068182
Kerry ,"Kerry General Hospital, Tralee",-9.6866122,52.265341
Kildare,"Clane Hospital, Clane",-6.7008703,53.289475
Kildare,"Naas General Hospital, Naas",-6.6613438,53.211574
Kildare,"St. Vincent's Hospital, Athy",-6.9948140,52.998137
Kilkenny,"Aut Even Hospital, Kilkenny",-7.2702634,52.676648
Kilkenny,"Castlecomer District Hospital, Castlecomer",-7.2140151,52.799417
Kilkenny,"Lourdes Regional Orthopaedic Hospital, Kilcreene",-7.2753800,52.649980
Kilkenny,"St. Canice's Psychiatric Hospital, Kilkenny",-7.2295557,52.648579
Kilkenny,"St. Luke's General Hospital, Kilkenny",-7.2628186,52.664949
Laois,"Midland Regional Hospital, Portlaoise",-7.2747266,53.037267
Leitrim,"Our Lady's Hospital, Manorhamilton",-8.1672055,54.303696
Limerick,Barringtons Hospital,-8.6211271,52.666807
Limerick,University Hospital Limerick,-8.6547793,52.634968
Limerick,"Mid-Western Regional Orthopaedic Hospital, Croom",-8.7122328,52.527519
Limerick,St. Camillus' Geriatric Hospital,-8.6404600,52.668281
Limerick,St. John's Hospital,-8.6170624,52.662857
Limerick,St. Munchins Maternity Hospital,-8.6333682,52.667318
Louth,"Louth County Hospital, Dundalk",-6.4028854,53.989073
Louth,"Our Lady of Lourdes Hospital, Drogheda",-6.3533338,53.722405
Louth,"St. Brigid's Psychiatric Hospital, Ardee",-6.5492441,53.856871
Mayo,"Mayo General Hospital, Castlebar",-9.3027644,53.851358
Mayo,"Ballina District Hospital, Ballina",-9.1550693,54.114948
Mayo,"Swinford District Hospital, Swinford",-8.9459081,53.942850
Mayo,"Belmullet District Hospital, Belmullet",-9.9876028,54.223900
Mayo,"Sacred Heart Hospital, Castlebar",-9.2990032,53.863353
Meath,"Our Lady's Hospital, Navan",-6.6976108,53.650455
Meath,"St. Joseph's Hospital, Trim",-6.7911150,53.554826
Monaghan,"Monaghan Hospital, Monaghan",-6.9738250,54.250294
Offaly ,"Birr District Hospital, Birr",-7.9096882,53.098005
Offaly,"Midland Regional Hospital, Tullamore",-7.4933852,53.275526
Roscommon,Roscommon County Hospital,-8.1808775,53.626824
Roscommon,Sacred Heart Hospital,-8.1841970,53.623250
Sligo,Sligo General Hospital,-8.4639418,54.274634
Sligo,St. John's Hospital,-8.4702636,54.279949
Sligo,St. Joseph's Hospital,-8.4812790,54.268844
Tipperary,"Mid-Western Regional Hospital, Nenagh",-8.1926900,52.857430
Tipperary,"South Tipperary General Hospital, Clonmel",-7.7143758,52.355298
Waterford,"St. Joseph's Hospital, Dungarvan",-7.6368935,52.087440
Waterford,"St. Vincent's District Hospital, Dungarvan",-7.6354180,52.087900
Waterford,Waterford Regional Hospital,-7.0779307,52.246829
Westmeath,"Midland Regional Hospital, Mullingar",-7.3489783,53.534181
Westmeath,"St. Loman's Psychiatric Hospital, Mullingar",-7.3381378,53.525933
Westmeath,"Saint Francis Private Hospital, Mullingar",-7.3396820,53.514439
Wexford,Ely Hospital,-6.4561000,52.348200
Wexford,"Gorey District Hospital, Gorey",-6.3000628,52.674411
Wexford,"New Houghton Hospital, New Ross",-6.9471900,52.396204
Wexford,"St John's Hospital, Enniscorthy",-6.5721234,52.496319
Wexford,Wexford General Hospital,-6.4830035,52.341929
Wicklow,"Newcastle Hospital, Newtownmountkennedy",-6.1022137,53.080722
